Simulation Time - Measured	Travel (deg) - Measured
6.9	18.1494
6.905	18.1494
6.91	18.1494
6.915	18.1494
6.92	18.1494
6.925	18.1494
6.93	18.1494
6.935	18.1494
6.94	18.1494
6.945	18.1494
6.95	18.1494
6.955	18.1494
6.96	18.1494
6.965	18.1494
6.97	18.1494
6.975	18.1055
6.98	18.1055
6.985	18.1055
6.99	18.1055
6.995	18.1055
7	18.1055
7.005	18.1055
7.01	18.1055
7.015	18.1055
7.02	18.1055
7.025	18.1055
7.03	18.0615
7.035	18.0615
7.04	18.0615
7.045	18.0615
7.05	18.0615
7.055	18.0615
7.06	18.0615
7.065	18.0615
7.07	18.0615
7.075	18.0615
7.08	18.0615
7.085	18.0176
7.09	18.0176
7.095	18.0176
7.1	18.0176
7.105	18.0176
7.11	18.0176
7.115	18.0176
7.12	18.0176
7.125	18.0176
7.13	17.9736
7.135	17.9736
7.14	17.9736
7.145	17.9736
7.15	17.9736
7.155	17.9736
7.16	17.9736
7.165	17.9297
7.17	17.9297
7.175	17.9297
7.18	17.9297
7.185	17.9297
7.19	17.9297
7.195	17.9297
7.2	17.8857
7.205	17.8857
7.21	17.8857
7.215	17.8857
7.22	17.8857
7.225	17.8857
7.23	17.8857
7.235	17.8857
7.24	17.8418
7.245	17.8418
7.25	17.8418
7.255	17.8418
7.26	17.8418
7.265	17.8418
7.27	17.8418
7.275	17.8418
7.28	17.7979
7.285	17.7979
7.29	17.7979
7.295	17.7979
7.3	17.7979
7.305	17.7979
7.31	17.7979
7.315	17.7979
7.32	17.7539
7.325	17.7539
7.33	17.7539
7.335	17.7539
7.34	17.71
7.345	17.71
7.35	17.71
7.355	17.71
7.36	17.71
7.365	17.71
7.37	17.71
7.375	17.71
7.38	17.71
7.385	17.666
7.39	17.666
7.395	17.666
7.4	17.666
7.405	17.666
7.41	17.6221
7.415	17.6221
7.42	17.6221
7.425	17.6221
7.43	17.6221
7.435	17.6221
7.44	17.6221
7.445	17.5781
7.45	17.5781
7.455	17.5781
7.46	17.5781
7.465	17.5781
7.47	17.5781
7.475	17.5781
7.48	17.5342
7.485	17.5342
7.49	17.5342
7.495	17.5342
7.5	17.5342
7.505	17.5342
7.51	17.4902
7.515	17.4902
7.52	17.4902
7.525	17.4902
7.53	17.4902
7.535	17.4902
7.54	17.4902
7.545	17.4463
7.55	17.4463
7.555	17.4463
7.56	17.4463
