Elevation (deg) - Measured	
4.06	-9.30664
4.065	-9.30664
4.07	-9.30664
4.075	-9.30664
4.08	-9.30664
4.085	-9.30664
4.09	-9.30664
4.095	-9.30664
4.1	-9.30664
4.105	-9.30664
4.11	-9.30664
4.115	-9.30664
4.12	-9.30664
4.125	-9.30664
4.13	-9.30664
4.135	-9.30664
4.14	-9.30664
4.145	-9.30664
4.15	-9.30664
4.155	-9.30664
4.16	-9.30664
4.165	-9.30664
4.17	-9.30664
4.175	-9.30664
4.18	-9.30664
4.185	-9.30664
4.19	-9.30664
4.195	-9.30664
4.2	-9.30664
4.205	-9.30664
4.21	-9.30664
4.215	-9.30664
4.22	-9.30664
4.225	-9.30664
4.23	-9.30664
4.235	-9.30664
4.24	-9.30664
4.245	-9.30664
4.25	-9.30664
4.255	-9.30664
4.26	-9.30664
4.265	-9.30664
4.27	-9.30664
4.275	-9.30664
4.28	-9.30664
4.285	-9.30664
4.29	-9.30664
4.295	-9.30664
4.3	-9.39453
4.305	-9.39453
4.31	-9.39453
4.315	-9.39453
4.32	-9.39453
4.325	-9.39453
4.33	-9.39453
4.335	-9.39453
4.34	-9.39453
4.345	-9.39453
4.35	-9.39453
4.355	-9.39453
4.36	-9.39453
4.365	-9.39453
4.37	-9.39453
4.375	-9.39453
4.38	-9.39453
4.385	-9.39453
4.39	-9.39453
4.395	-9.39453
4.4	-9.39453
4.405	-9.39453
4.41	-9.39453
4.415	-9.39453
4.42	-9.39453
4.425	-9.39453
4.43	-9.39453
4.435	-9.39453
4.44	-9.39453
4.445	-9.39453
4.45	-9.39453
4.455	-9.39453
4.46	-9.39453
4.465	-9.39453
4.47	-9.39453
4.475	-9.39453
4.48	-9.39453
4.485	-9.39453
4.49	-9.39453
4.495	-9.39453
4.5	-9.39453
4.505	-9.39453
4.51	-9.39453
4.515	-9.39453
4.52	-9.39453
4.525	-9.39453
4.53	-9.39453
4.535	-9.39453
4.54	-9.39453
4.545	-9.39453
4.55	-9.39453
4.555	-9.39453
4.56	-9.39453
4.565	-9.39453
4.57	-9.39453
4.575	-9.39453
4.58	-9.39453
4.585	-9.39453
4.59	-9.39453
4.595	-9.39453
4.6	-9.39453
4.605	-9.39453
4.61	-9.39453
4.615	-9.39453
4.62	-9.39453
4.625	-9.39453
4.63	-9.39453
4.635	-9.39453
4.64	-9.39453
4.645	-9.39453
4.65	-9.39453
4.655	-9.39453
4.66	-9.39453
4.665	-9.39453
4.67	-9.39453
4.675	-9.39453
4.68	-9.39453
4.685	-9.39453
4.69	-9.39453
4.695	-9.39453
4.7	-9.39453
4.705	-9.39453
4.71	-9.39453
4.715	-9.39453
4.72	-9.39453
4.725	-9.39453
4.73	-9.39453
4.735	-9.39453
4.74	-9.39453
4.745	-9.39453
4.75	-9.39453
4.755	-9.39453
4.76	-9.39453
4.765	-9.39453
4.77	-9.39453
4.775	-9.39453
4.78	-9.39453
4.785	-9.39453
4.79	-9.39453
4.795	-9.39453
4.8	-9.39453
4.805	-9.39453
4.81	-9.48242
4.815	-9.48242
4.82	-9.48242
4.825	-9.48242
4.83	-9.48242
4.835	-9.48242
4.84	-9.48242
4.845	-9.48242
4.85	-9.48242
4.855	-9.48242
4.86	-9.48242
4.865	-9.48242
4.87	-9.48242
4.875	-9.48242
4.88	-9.48242
4.885	-9.48242
4.89	-9.48242
4.895	-9.48242
4.9	-9.48242
4.905	-9.48242
4.91	-9.48242
